50.195,-40.531,18.994
3.5032,6.7168,46.829
32.583,-0.48748,63.478
9.0759,-79.006,24.549
22.94,-3.3311,-10.481
34.283,-39.561,-8.0186
43.112,-65.895,32.199
47.53,-25.107,-8.0015
6.7476,-44.583,24.96
31.087,-83.781,4.2024
21.863,32.066,10.837
13.289,-63.44,1.4713
5.6636,39.298,14.078
54.36,-17.775,1.978
23.51,-25.819,-1.7347
6.7573,-37.76,60.147
43.684,11.239,38.579
40.916,37.384,16.283
44.815,26.623,33.289
11.785,-77.692,11.339
43.528,-23.963,49.13
5.3342,-27.591,47.012
38.048,-13.782,53.277
9.6985,-61.342,38.412
3.8425,33.861,27.847
30.766,42.476,42.684
10.526,16.283,61.778
24.652,-67.835,52.78
50.341,-7.1854,13.116
50.749,-35.728,41.972
8.95,62.442,24.831
29.262,18.359,-10.667
43.142,-17.559,22.316
34.523,2.4209,19.187
-51.566,-44.217,20.621
-4.7531,10.478,46.893
-32.993,-4.2131,62.394
-3.3824,-82.023,19.707
-22.057,-1.7584,-10.613
-32.686,-36.495,-7.6437
-35.181,-74.309,32.363
-48.661,-30.854,-4.6727
-4.8312,-46.696,27.689
-26.449,-84.292,3.1183
-22.951,32.214,10.595
-10.396,-66.285,-0.86949
-5.464,37.044,14.295
-54.782,-20.901,3.2595
-21.391,-25.391,-2.0488
-6.0012,-36.768,62.684
-44.979,11.349,31.529
-42.437,34.894,15.652
-46.103,28.662,28.818
-6.6916,-79.653,8.147
-42.849,-29.337,51.132
-4.1347,-26.684,47.825
-39.923,-15.111,51.043
-6.4526,-63.31,40.094
-5.2993,32.958,31.71
-33.128,35.806,45.701
-10.567,15.498,62.367
-19.446,-70.955,51.011
-49.808,-10.975,12.365
-49.313,-43.275,40.137
-8.1331,61.726,27.874
-30.058,16.391,-12.841
-42.032,-23.168,21.811
-34.23,1.5317,18.129
22.216,-52.166,-30.231
11.296,-17.864,20.314
11.603,7.4372,28.762
24.045,2.4508,18.608
19.186,-0.57298,16.273
25.647,-16.93,2.961
21.981,1.3444,1.3516
8.0944,13.511,14.07
9.4685,-10.945,6.4516
-21.998,-51.146,-30.258
-11.377,-18.645,20.251
-12.369,6.9674,28.266
-24.839,1.3131,17.803
-19.578,-1.1861,15.03
-24.186,-17.821,3.1103
-22.082,0.50068,0.16644
-7.7789,12.163,14.511
-9.0951,-11.396,6.374
