55.195,-45.531,10.994
8.5032,1.7168,38.829
37.583,-5.4875,55.478
14.076,-84.006,16.549
27.94,-8.3311,-18.481
39.283,-44.561,-16.019
48.112,-70.895,24.199
52.53,-30.107,-16.001
11.748,-49.583,16.96
36.087,-88.781,-3.7976
26.863,27.066,2.8369
18.289,-68.44,-6.5287
10.664,34.298,6.0776
59.36,-22.775,-6.022
28.51,-30.819,-9.7347
11.757,-42.76,52.147
48.684,6.2391,30.579
45.916,32.384,8.2833
49.815,21.623,25.289
16.785,-82.692,3.339
48.528,-28.963,41.13
10.334,-32.591,39.012
43.048,-18.782,45.277
14.698,-66.342,30.412
8.8425,28.861,19.847
35.766,37.476,34.684
15.526,11.283,53.778
29.652,-72.835,44.78
55.341,-12.185,5.1158
55.749,-40.728,33.972
13.95,57.442,16.831
34.262,13.359,-18.667
48.142,-22.559,14.316
39.523,-2.5791,11.187
27.216,-57.166,-38.231
16.296,-22.864,12.314
16.603,2.4372,20.762
29.045,-2.5492,10.608
24.186,-5.573,8.273
30.647,-21.93,-5.039
26.981,-3.6556,-6.6484
13.094,8.5113,6.0704
14.468,-15.945,-1.5484
